CA113-115,CA1,CA2_1,CA2_2,CA2_3,CA3,CA4,CA4_1,CA5_1,CA5_2,CA5_3,CA5_4,CA6,CA7,CA8_1,CA9,CA10,CA10_1,CA108,CA31,CA24,CA11,CA12,CA15,CA14,CA13,CA32,CA33,CA34,CA27,CA51,CA52,CA53,CA54,CA55,CA95,CA96,CA104,CA105,CA106,CA120,CA28,CA25,CA26,CA20,CA21,CA22,CA23,CA101,CA102,CA19,CA121,CA111,CA112,SLD01,CA16,CA16_1,CA17,CA17_1,CA18,CA18_2,CA18_1,CA56,CA57,CA58,CA59,CA60,CA61,CA62,CA63,CA64,CA65,CA66_T_1,CA66_T_2,CA66_T_3,CA67,CA68,CA69_T_1,CA69_T_2,CA70,CA71,CA72,CA73,CA74,CA75,CA76,CA77,CA78,CA79,CA80,CA81,CA82,CA83,CA84,CA85,CA86,CA87,CA88,CA89_T_1,CA89_T_2,CA90,CA91,CA29,CA30,CA41,CA42,CA42_1,CA43,CA35,CA122,CA36,CA37,CA37_1,CA38,CA40,CA107,CA44,CA45,CA45_2,CA45_1,CA109,CA109_1,CA46,CA48,CA49_T_1,CA49_T_1_2,CA49_T_1_2,CA49_T_2,CA49_T_2_2,CA49_T_2_2,CA50_T_1,CA50_T_2,CA103,CA92,CA93,CA94,CA97,CA98,CA100,CA136,CA137,CA137_1,CA1-1,CA135_T_1,CA135_T_2,Life Stabilization,Employment Assistance Services,Retention Services,Specialized Services,Employer Financial Supports,Enhanced Referrals for Skills Development,Outcome
Yes,"270-15-5868",John, N/A,Jones,02/06/1998,"2696 Fallon Drive, Ridgetown, Ontario",N0P 2C0,519-693-7193,,5194835700,,jjones03@gmail.com,English,USA,03/04/2018,Permanent resident,,10,Divorced,2,Man,No,White,No,No,Some college,2017,Outside Canada,"No, I do not need help, my language skills are good enough",3,4,2,5,5,4,4,2,2,2,Often,Sometimes,Yes,Yes,Homeowner,2,Not worried,Yes,Often True,Never True,No,Sometimes,No,No,case-managed,Employment,,EI,,,4,2,No,Yes,No difficulty,Never,No,No difficulty,Never,Sometimes,Some difficulty,No difficulty,Rarely,,,Some difficulty,No difficulty,Sometimes,Never,No difficulty,Never,some difficulty,No,Yes,Rarely,Some difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,Yes,Yes,Yes,Sometimes,some difficulty,No,No,No,,,,Yes,1,Employee,permanant job,,20,23,None of the above,,,,,,,,,,30,2,,,,,10022,Yes,1,2,4,20010,40,35,,,,,,80022,Basic Needs – Housing,Job Search,Ongoing Job Coaching,Employer Job Carving,,,Return to Work
Yes,"590-99-1120",Ava,Nicole,Smith,12/03/1997,"1081 Scotts Lane, Lake Cowichan, BC",V0R 2G0,2500458554,,2503458666,,asmith04@gmail.com,French,CANADA,03/05/2018,Canadian citizen,,11,married,1,Woman,No,Black,Yes,No,12th Grade,2018,Outside Canada,"Yes, I need help, my language skills need development",3,5,5,2,4,4,3,5,2,3,Often,Always,No,No,Renting-private,1,Not worried,No,Never True,Never True,No,Often,No,No,case-managed,Employment,,WSIB,,,3,2,No,Yes,No Difficulty,Never,No,No difficulty,Never,Always,Some difficulty,Some difficulty,Rarely,Rarely,Rarely,A lot of Difficulty,No difficulty,Sometimes,Never,No difficulty,Never,,,,Never,,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,,,,Never,Never,No,No,No,,,,Yes,1,Employee,"Temporary, term or contract",,30,30,None of the above,,,,,,,,,,10,1,,,,,10020,Yes,2,4,3,11100,30,30,,,,,,80021,"Basic Needs – Food Security",Job Search,Ongoing Job Coaching,,,,Return to Work
Yes,"183-86-9884",Amy,N/A,Hansen,04/20/2002,"901 Speers Road, Brampton, Ontario",L6S 3S1,9059649200,,9059694850,,ahanson34@gmail.com,English,CANADA,03/06/2018,Canadian citizen,,10,single,0,Man,No,White,No,No,Some college,2019,In Canada,"No, I do not need help, my language skills are strong",4,4,4,2,4,4,2,5,2,3,Often,Always,No,No,Institution,1,Not worried,No,Sometimes True,Never True,No,Rarely,No,No,self-directed,Employment,,EI,,,3,2,Yes,No,Some difficulty,Sometimes,Yes,No difficulty,Never,Sometimes,No difficulty,Some difficulty,Never,Rarely,Rarely,No difficulty,No difficulty,,Never,No difficulty,Never,,,,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,"Temporary, term or contract",,30,30,None of the above,,,,,,,,,,20,1,,,,,10021,Yes,2,5,2,11101,30,40,,,,,,80020,Basic Needs – Food Security,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,,No
Yes,"094-98-0647",Tom,N/A,Woods,05/02/1990,"1821 Dora Ave #APT 121
, Kitchener, BC",N2G 4L9,5193439175,,5198543940,,twoods98@hotmail.com,English,USA,03/07/2018,Permanent resident,,12,married,0,Man,No,Latino,No,Metis,Some university,2018,Outside Canada,"No, I do not need help, my language skills are good enough",4,3,3,3,5,3,4,2,3,2,Always,Sometimes,No,No,Institution,0,Not worried,No,Sometimes True,Never True,No,Rarely,Yes,No,self-directed,Self-Employment,,None,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,,,,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,Yes,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,,,,,,,None of the above,Unemployed and looking for work,,,,Lack of Work,,,,,30,,,10,0,10029,,Yes,3,4,3,90010,30,30,,,,,80010,,"Health Supports – Mental Health and addictions",Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,Referrals to Educational Institutions or Funded Programs,Return to Work
Yes,"252-99-2817",Jack,N/A,La,06/02/1987,"107 N New Haven Ave
, Boston Bar, BC",V0K 1C0,"604-822-2019
",,6048843233,,jla84@hotmail.com,English,CANADA,03/08/2018,Canadian citizen,,8,Divorced,0,Man,No,White,No,No,Bachelor's degree,2019,Outside Canada,"Yes, I need help, my language skills need development",3,4,4,4,5,3,4,5,3,4,Rarely,Rarely,No,No,Renting-private,0,Not worried,No,Sometimes True,Never True,No,Rarely,No,No,self-directed,No Source of Income,,None,,,3,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,,,,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,,,,,,,None of the above,Unemployed and looking for work,,,,Sick leave or injury,,,,,10,,,28,0,10030,,Yes,2,3,3,21120,40,40,,,,,70021,,Basic Needs – Housing,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,,Referrals to Educational Institutions or Funded Programs,Return to Work
Yes,"414-99-3651",Alice,N/A,Peterson,11/12/1999,"258 W 280th N
, Latulipe, Quebec", J0Z 2N0,8197878901,,8191295758,,apeterson40@hotmail.com,English,CANADA,03/09/2018,Canadian citizen,,5,single,0,Woman,No,White,No,No,10th Grade,2016,Outside Canada,"No, I do not need help, my language skills are strong",2,3,4,5,5,3,4,4,3,3,Often,Sometimes,No,No,Living with family/friend,1,Not worried,No,Sometimes True,Never True,No,Often,No,Yes,self-directed,No Source of Income,,None,,,3,2,No,Yes,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,Sometimes,Prefer not to answer,Yes,Never,No difficulty,No difficulty,Never,No difficulty,No,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,,,,,,,None of the above,Unemployed with an employment offer,,,,Lack of Work,,,,,,,,13,2,10030,,Yes,5,3,3,21103,50,30,,,,,70021,,"Health Supports – Mental Health and addictions",Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,,Return to Work
Yes,"123-98-1939
",Bob,N/A,Mckeague,12/01/1996,"726 County Rd #1154
, Hauterive, Quebec",G5C 1M1,"418-734-8228
",,4188482245,,bmckeague34@outlook.com,English,USA,03/10/2018,Refugee Claimant,,6,married,1,Man,No,Black,No,No,12th Grade,2020,Outside Canada,"No, I do not need help, my language skills are strong",3,3,3,4,5,3,5,4,3,3,Often,Sometimes,No,No,Renting-private,0,Not worried,No,Sometimes True,Sometimes True,Yes,Always,Yes,No,self-directed,No Source of Income,,None,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,Sometimes,Some difficulty,No difficulty,Never,Rarely,Rarely,No difficulty,No difficulty,,Never,No difficulty,Never,Sometimes,No,Yes,Never,No difficulty,No difficulty,Never,No difficulty,Yes,Never,No difficulty,Yes,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,No,,,,,,,None of the above,Unemployed and looking for work,,,,Laid Off,,,,,,,,48,3,50010,,Yes,5,3,2,21109,50,30,,,,,70012,,Basic Needs – Housing,Job Search,Ongoing Job Coaching,Employment Services for Newcomers,Employer Job Trials with Financial Supports,,No
Yes,"692-16-0526
",Alyssa,N/A,Atzberg,07/08/1998,"8 S Rowe St, Pryor, Longueuil, Quebec",J4H 1M3,"150-824-4442
",,4504749918,,aatzberg55@outlook.com,English,USA,03/11/2018,Naturalized Canadian Citizen,,7,married,1,Woman,No,White,No,No,Some college,2019,Outside Canada,"No, I do not need help, my language skills are strong",5,4,4,5,5,2,5,4,3,2,Always,Sometimes,No,No,Renting-private,1,Not worried,No,Sometimes True,Never True,No,Rarely,No,No,self-directed,Employment,,WSIB,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,Some difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,"Temporary, term or contract",,20,20,I don't get paid enough to pay my basic expenses,,,,,,,,,,29,0,,,,,50010,Yes,1,3,4,21200,40,30,,,,,,70010,Health Supports – Mental Health and addictions,Job Search,,Employer Job Carving,Employer Job Trials with Financial Supports,,Return to Work
Yes,"465-99-8075",Ivan,Donald,Kuznetnova,09/19/2000,"298 Vidal St, Quebec, Quebec",G1R 1B8,4182874001,,4187521002,,ikuznetnova45@outlook.com,English,USA,03/12/2018,Permanent resident,,8,married,1,Man,No,White,No,No,Some college,2017,Outside Canada,"No, I do not need help, my language skills are strong",5,2,3,5,5,3,5,4,3,4,Often,Sometimes,No,No,Renting-private,1,Not worried,No,Sometimes True,Never True,No,Rarely,No,No,self-directed,Employment,,WSIB,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,"Temporary, term or contract",,30,20,None of the above,,,,,,,,,,29,1,,,,,50011,Yes,2,3,4,21201,40,30,,,,,,70011,"Basic Needs – Housing",Job Search,Ongoing Job Coaching,,,,Return to Work
Yes,"447-27-0092",Lisa,Nicole,Harris,09/13/2000,"711 Oak St, Toronto, Ontario",M5J 2R8,4165873306,,4168478123,,lharris99@outlook.com,English,CANADA,05/23/1980,Canadian citizen,,12,divorced,0,Woman,No,White,No,No,Some college,2016,Outside Canada,"No, I do not need help, my language skills are strong",5,4,2,5,5,4,5,3,3,4,Often,Sometimes,No,No,Renting-private,1,Not worried,No,Never True,Never True,No,Rarely,Yes,No,self-directed,Employment,,OW,,,4,2,No,No,No Difficulty,Never,No,No difficulty,Never,No,No difficulty,No difficulty,Never,,,No difficulty,No difficulty,,Never,No difficulty,Never,No difficulty,No difficulty,No difficulty,Never,No difficulty,No difficulty,Never,No difficulty,,Never,No difficulty,No,Never,No difficulty,No,Never,No,No,No,Never,Never,No,No,No,,,,Yes,1,Employee,"Temporary, term or contract",,40,25,None of the above,,,,,,,,,,20,2,,,,,50012,Yes,3,1,3,21202,30,36,,,,,,60040,,Job Search,Ongoing Job Coaching,Employer Job Carving,Employer Job Trials with Financial Supports,,Return to Work
